demand,cost,n,ratio,total_utility,theorem_bound,residual
linear,0.9,10,0.03600000000000004,0.0009000000000000004,0.0052484074999860734,0.0
quadratic,0.0,2,0.3678176140256249,0.2831371716541894,2.039796,6.522560269672795e-16
quadratic,0.0,3,0.13862494438631795,0.1600652327848834,1.8594060199399862,4.440892098500626e-16
quadratic,0.0,4,0.05572521097229602,0.08579186000282027,1.5113666129093006,2.636779683484747e-16
quadratic,0.0,5,0.02621055361067016,0.05044063779051808,1.155535235662075,1.0104764247564901e-16
quadratic,0.0,6,0.012125816786189162,0.02800248822721664,0.8519264982497342,1.1102230246251565e-16
quadratic,0.0,7,0.007991889695557967,0.0215318770880074,0.6145335308682549,2.220446049250313e-16
quadratic,0.0,8,0.006002586020818579,0.01848258662704657,0.43825271728821724,1.723881454251952e-16
quadratic,0.0,9,0.004767516727521844,0.016514639804001845,0.3117452731557865,3.3306690738754696e-16
quadratic,0.0,10,0.003958945903558503,0.01523750770928825,0.22313407324845308,1.1102230246251565e-16
quadratic,0.5,2,0.3670709634230621,0.08069467817314545,0.769496,2.220446049250313e-16
quadratic,0.5,3,0.1438422170237725,0.04743211490580602,0.7027540526820661,6.201636426617085e-17
quadratic,0.5,4,0.06624233136002272,0.029124633344398472,0.5739839970455003,2.220446049250313e-16
quadratic,0.5,5,0.030513025552378722,0.016769501148204063,0.4423310137345581,2.220446049250313e-16
quadratic,0.5,6,0.02027526247334211,0.01337157615169407,0.3299997282003092,1.1102230246251565e-16
quadratic,0.5,7,0.014976971785519717,0.011523566654242798,0.24216741668637953,1.179069862577986e-17
quadratic,0.5,8,0.011936298083755934,0.01049601661177761,0.17694580754153014,2.220446049250313e-16
quadratic,0.5,9,0.009884853987950349,0.009778621462141849,0.13013969797378058,9.75781955236954e-19
quadratic,0.5,10,0.008442694391032892,0.009279956393791625,0.09735470606887209,1.1310939164455025e-16
quadratic,0.9,2,0.3449884860260224,0.0033636377387537145,0.04125599999999998,1.3552527156068805e-19
quadratic,0.9,3,0.11753846153846172,0.001719000000000001,0.038154786121380485,0.0
quadratic,0.9,4,0.08815384615384629,0.001719000000000001,0.03217139037494836,0.0
quadratic,0.9,5,0.07052307692307704,0.001719000000000001,0.02605403726475753,0.0
quadratic,0.9,6,0.05876923076923086,0.001719000000000001,0.020834481113024224,0.0
quadratic,0.9,7,0.050373626373626454,0.001719000000000001,0.016753287884413735,0.0
quadratic,0.9,8,0.044076923076923145,0.001719000000000001,0.013722717641948642,0.0
quadratic,0.9,9,0.039179487179487237,0.001719000000000001,0.011547837189266889,0.0
quadratic,0.9,10,0.03526153846153852,0.001719000000000001,0.010024458324973402,0.0
exponential,0.0,2,0.36779106516159893,0.2706055430389971,2.0197016608483027,6.606745847625994e-08
exponential,0.0,3,0.13813443254141045,0.15245045354960512,1.8410887297867644,1.3322676295501878e-15
exponential,0.0,4,0.055611503469320596,0.08183331527598955,1.49647791163606,1.3322676295501878e-15
exponential,0.0,5,0.025711310425852875,0.04729331255624117,1.1441518831468578,2.248635305734936e-16
exponential,0.0,6,0.012203864448038516,0.02693730499965865,0.8435340413627965,2.220446049250313e-16
exponential,0.0,7,0.008128381582438173,0.020931851319229193,0.6084796680362086,2.220446049250313e-16
exponential,0.0,8,0.00613541201320144,0.018056735542184798,0.43393542343366404,4.440892098500626e-16
exponential,0.0,9,0.0048767757875542135,0.01614658996299478,0.3086742232823036,2.220446049250313e-16
exponential,0.0,10,0.004061677101950177,0.014942075024842745,0.22093594571797745,4.440892098500626e-16
exponential,0.5,2,0.3678028045268552,0.13530709019062873,0.6245154019647565,4.440892098500626e-16
exponential,0.5,3,0.13886959689029849,0.0766309045495597,0.5703482925097756,5.880712583561376e-16
exponential,0.5,4,0.05595233331158305,0.0411674262218069,0.465839779071247,4.440892098500626e-16
exponential,0.5,5,0.025354381936073977,0.023318389644725518,0.358991509824503,4.185020385794047e-16
exponential,0.5,6,0.013397843913871698,0.01478637399581199,0.2678245408751657,2.220446049250313e-16
exponential,0.5,7,0.009232363783501901,0.011887388902781498,0.19654069881410818,3.220080452281948e-17
exponential,0.5,8,0.007045682693431873,0.01036784724772408,0.1436074809001959,8.673617379884035e-19
exponential,0.5,9,0.005658228494345323,0.0093669567143404,0.10562010171809547,2.3852447794681098e-18
exponential,0.5,10,0.004752370247768904,0.008741496554945067,0.07901212403152502,3.3306690738754696e-16
exponential,0.9,2,0.36766711033596816,0.027051434217502994,0.09660581376807262,1.0842021724855044e-19
exponential,0.9,3,0.14804667535914878,0.016338998459524075,0.08934395390737655,1.5178830414797062e-18
exponential,0.9,4,0.06592544929065566,0.009701046977609065,0.07533312359953041,1.1102230246251565e-16
exponential,0.9,5,0.03891263903429385,0.007157579951221037,0.06100861624746924,1.1102230246251565e-16
exponential,0.9,6,0.027140492137827616,0.005990657448469168,0.04878640688285936,7.589415207398531e-19
exponential,0.9,7,0.02080157221698798,0.005356729533871057,0.0392298092244663,2.168404344971009e-19
exponential,0.9,8,0.016796405829803084,0.004943241912285371,0.03213336981069265,2.220446049250313e-16
exponential,0.9,9,0.013852464438396333,0.004586433188800068,0.027040629458268878,1.1102230246251565e-16
exponential,0.9,10,0.010941742837052112,0.004025242240336363,0.023473457292713447,0.0
