demand,cost,k,ratio,target,abs_error,residual
constant,0.0,10,0.36627906976744184,0.36787944117144233,0.001600371404000489,2.7755575615628914e-17
constant,0.0,11,0.3665454545454545,0.36787944117144233,0.0013339866259878264,4.163336342344337e-17
constant,0.0,12,0.36620164870006344,0.36787944117144233,0.0016777924713788916,4.163336342344337e-17
constant,0.0,13,0.36630036630036633,0.36787944117144233,0.0015790748710760028,8.326672684688674e-17
constant,0.0,14,0.36702428006775834,0.36787944117144233,0.000855161103683999,6.938893903907228e-18
constant,0.0,15,0.3674540682414698,0.36787944117144233,0.00042537292997252285,4.163336342344337e-17
constant,0.0,16,0.36654533026646985,0.36787944117144233,0.0013341109049724853,2.220446049250313e-16
constant,0.0,17,0.3674304956469422,0.36787944117144233,0.0004489455245001439,4.440892098500626e-16
constant,0.0,18,0.36803852696224626,0.36787944117144233,0.0001590857908039256,1.0408340855860843e-16
constant,0.0,19,0.36681985485246105,0.36787944117144233,0.001059586318981287,2.220446049250313e-16
constant,0.0,20,0.3677500054861858,0.36787944117144233,0.00012943568525652926,5.204170427930421e-17
constant,0.0,21,0.36776083934065884,0.36787944117144233,0.00011860183078349351,2.220446049250313e-16
constant,0.0,22,0.36707519867854765,0.36787944117144233,0.0008042424928946801,9.020562075079397e-17
constant,0.0,23,0.36795537575016574,0.36787944117144233,7.593457872340226e-05,4.440892098500626e-16
constant,0.0,24,0.36765508682955644,0.36787944117144233,0.00022435434188589065,2.220446049250313e-16
constant,0.0,25,0.36730096801501705,0.36787944117144233,0.0005784731564252854,1.7780915628762273e-16
constant,0.0,26,0.3677371688963401,0.36787944117144233,0.00014227227510221763,1.942890293094024e-16
constant,0.0,27,0.3676366394494001,0.36787944117144233,0.0002428017220422185,2.220446049250313e-16
constant,0.0,28,0.3674976838434533,0.36787944117144233,0.0003817573279890074,2.636779683484747e-16
constant,0.0,29,0.3676303582271246,0.36787944117144233,0.0002490829443177467,9.71445146547012e-17
constant,0.0,30,0.36766367932914873,0.36787944117144233,0.00021576184229360473,5.898059818321144e-17
constant,0.0,31,0.3676687534521467,0.36787944117144233,0.00021068771929561025,5.551115123125783e-17
constant,0.0,32,0.36758941259510725,0.36787944117144233,0.0002900285763350885,1.1102230246251565e-16
constant,0.0,33,0.36771433072224735,0.36787944117144233,0.00016511044919498286,5.724587470723463e-17
constant,0.0,34,0.36781797994175813,0.36787944117144233,6.146122968420098e-05,3.469446951953614e-17
constant,0.0,35,0.36758820201054176,0.36787944117144233,0.00029123916090056934,1.196959198423997e-16
constant,0.0,36,0.3677766776742594,0.36787944117144233,0.00010276349718291167,1.1102230246251565e-16
constant,0.0,37,0.3679007786528969,0.36787944117144233,2.1337481454553053e-05,2.3592239273284576e-16
constant,0.0,38,0.36761115349325,0.36787944117144233,0.0002682876781923138,1.3877787807814457e-16
constant,0.0,39,0.36784405339298987,0.36787944117144233,3.538777845246699e-05,1.3322676295501878e-15
constant,0.0,40,0.36783585956791554,0.36787944117144233,4.358160352679885e-05,1.0408340855860843e-16
constant,0.0,41,0.36764870860879545,0.36787944117144233,0.0002307325626468848,3.95516952522712e-16
constant,0.0,42,0.3679014681598625,0.36787944117144233,2.2026988420187354e-05,4.85722573273506e-17
constant,0.0,43,0.36780281990284613,0.36787944117144233,7.662126859619978e-05,1.1102230246251565e-16
constant,0.0,44,0.3676948666331348,0.36787944117144233,0.0001845745383075581,5.551115123125783e-17
constant,0.0,45,0.3678302168827026,0.36787944117144233,4.9224288739713185e-05,2.220446049250313e-16
constant,0.0,46,0.36779184632602296,0.36787944117144233,8.75948454193698e-05,6.591949208711867e-16
constant,0.0,47,0.36774579751079045,0.36787944117144233,0.00013364366065188316,2.220446049250313e-16
constant,0.0,48,0.36778705947384716,0.36787944117144233,9.238169759517856e-05,5.134781488891349e-16
constant,0.0,49,0.36779623986986454,0.36787944117144233,8.320130157779548e-05,3.885780586188048e-16
constant,0.0,50,0.36779903001761577,0.36787944117144233,8.041115382656505e-05,8.326672684688674e-17
constant,0.0,51,0.3677643770335675,0.36787944117144233,0.00011506413787482073,5.724587470723463e-17
constant,0.0,52,0.36781134893635076,0.36787944117144233,6.809223509157691e-05,2.220446049250313e-16
constant,0.0,53,0.3678529618075511,0.36787944117144233,2.6479363891218632e-05,6.938893903907228e-17
constant,0.0,54,0.367756713813229,0.36787944117144233,0.00012272735821333702,1.249000902703301e-16
constant,0.0,55,0.36783389737390093,0.36787944117144233,4.554379754140303e-05,2.220446049250313e-16
constant,0.0,56,0.36788882578955184,0.36787944117144233,9.38461810950919e-06,3.3306690738754696e-16
constant,0.0,57,0.36776010864722297,0.36787944117144233,0.00011933252421936213,5.724587470723463e-17
constant,0.0,58,0.36786155063446385,0.36787944117144233,1.7890536978482086e-05,2.220446049250313e-16
constant,0.0,59,0.3678592000117846,0.36787944117144233,2.0241159657707897e-05,4.440892098500626e-16
constant,0.0,60,0.36777165109209375,0.36787944117144233,0.00010779007934857976,2.220446049250313e-16
constant,0.0,61,0.3678922631841085,0.36787944117144233,1.2822012666169336e-05,4.440892098500626e-16
constant,0.0,62,0.36784227027795163,0.36787944117144233,3.717089349070113e-05,3.7296554733501353e-16
constant,0.0,63,0.3677891808007869,0.36787944117144233,9.026037065545944e-05,2.220446049250313e-16
constant,0.0,64,0.3678565692528041,0.36787944117144233,2.287191863825644e-05,2.220446049250313e-16
constant,0.0,65,0.3678351785359257,0.36787944117144233,4.4262635516656434e-05,6.661338147750939e-16
constant,0.0,66,0.3678110802507857,0.36787944117144233,6.836092065665156e-05,4.163336342344337e-17
constant,0.0,67,0.3678329534000167,0.36787944117144233,4.648777142562954e-05,8.673617379884035e-17
constant,0.0,68,0.36783572936978676,0.36787944117144233,4.371180165557709e-05,2.3158558404290375e-16
constant,0.0,69,0.36783612953787226,0.36787944117144233,4.3311633570075614e-05,1.6653345369377348e-16
constant,0.0,70,0.3678189503523248,0.36787944117144233,6.049081911752019e-05,4.440892098500626e-16
constant,0.0,71,0.36784222253223936,0.36787944117144233,3.721863920297386e-05,3.469446951953614e-17
constant,0.0,72,0.3678634031787675,0.36787944117144233,1.6037992674855506e-05,1.1102230246251565e-16
constant,0.0,73,0.36781262078619437,0.36787944117144233,6.682038524796763e-05,2.5326962749261384e-16
constant,0.0,74,0.36785333174303164,0.36787944117144233,2.6109428410692193e-05,1.5543122344752192e-15
constant,0.0,75,0.3678857302801727,0.36787944117144233,6.289108730350712e-06,9.367506770274758e-17
constant,0.0,76,0.36781242822559523,0.36787944117144233,6.701294584710027e-05,5.551115123125783e-16
constant,0.0,77,0.3678680158786901,0.36787944117144233,1.1425292752220706e-05,2.220446049250313e-16
constant,0.0,78,0.3678685008220581,0.36787944117144233,1.0940349384258585e-05,1.1796119636642288e-16
constant,0.0,79,0.3678171475705173,0.36787944117144233,6.229360092502301e-05,3.903127820947816e-17
constant,0.0,80,0.36788545315736954,0.36787944117144233,6.011985927201202e-06,7.632783294297951e-17
constant,0.0,81,0.36785799237308714,0.36787944117144233,2.1448798355194754e-05,2.220446049250313e-16
constant,0.0,82,0.36782579640439134,0.36787944117144233,5.364476705099763e-05,4.163336342344337e-17
constant,0.0,83,0.36786718596504325,0.36787944117144233,1.2255206399081064e-05,3.3306690738754696e-16
constant,0.0,84,0.3678530099166779,0.36787944117144233,2.6431254764425205e-05,2.220446049250313e-16
constant,0.0,85,0.36783758290239527,0.36787944117144233,4.185826904706813e-05,1.3530843112619095e-16
constant,0.0,86,0.36785215749547007,0.36787944117144233,2.728367597226722e-05,2.706168622523819e-16
constant,0.0,87,0.36785257690382944,0.36787944117144233,2.6864267612891624e-05,1.1796119636642288e-16
constant,0.0,88,0.36785186597190056,0.36787944117144233,2.7575199541773898e-05,2.220446049250313e-16
constant,0.0,89,0.36784263549462914,0.36787944117144233,3.680567681318969e-05,2.688821387764051e-16
constant,0.0,90,0.3678558914822152,0.36787944117144233,2.354968922713141e-05,1.5607090272928836e-16
constant,0.0,91,0.3678681244980866,0.36787944117144233,1.131667335574349e-05,2.0816681711721685e-16
constant,0.0,92,0.36783772412049587,0.36787944117144233,4.171705094646594e-05,2.0122792321330962e-16
constant,0.0,93,0.36786229237561996,0.36787944117144233,1.714879582237483e-05,1.3877787807814457e-16
constant,0.0,94,0.3678843932670957,0.36787944117144233,4.95209565337662e-06,4.440892098500626e-16
constant,0.0,95,0.36783667752400884,0.36787944117144233,4.276364743349692e-05,2.220446049250313e-16
constant,0.0,96,0.3678712320884118,0.36787944117144233,8.209083030508157e-06,1.0408340855860843e-16
constant,0.0,97,0.36787299986086414,0.36787944117144233,6.441310578197967e-06,6.800116025829084e-16
constant,0.0,98,0.36783887226808615,0.36787944117144233,4.056890335618624e-05,4.440892098500626e-16
constant,0.0,99,0.36788225571682637,0.36787944117144233,2.8145453840333623e-06,2.220446049250313e-16
constant,0.0,100,0.36786574237262987,0.36787944117144233,1.369879881246705e-05,2.636779683484747e-16
constant,0.5,10,0.36923076923076914,0.36787944117144233,0.0013513280593268062,6.938893903907228e-18
constant,0.5,11,0.36096256684491973,0.36787944117144233,0.006916874326522604,0.0
constant,0.5,12,0.3571428571428572,0.36787944117144233,0.010736584028585128,6.608470384673574e-19
constant,0.5,13,0.3611632270168855,0.36787944117144233,0.00671621415455681,1.0408340855860843e-17
constant,0.5,14,0.3673469387755103,0.36787944117144233,0.0005325023959320552,1.3530843112619095e-16
constant,0.5,15,0.3658625730994153,0.36787944117144233,0.002016868072027056,6.938893903907228e-18
constant,0.5,16,0.3662790697674419,0.36787944117144233,0.0016003714040004335,0.0
constant,0.5,17,0.36844455786653046,0.36787944117144233,0.0005651166950881303,1.1102230246251565e-16
constant,0.5,18,0.36363636363636365,0.36787944117144233,0.004243077535078688,0.0
constant,0.5,19,0.3638478022265196,0.36787944117144233,0.004031638944922755,2.220446049250313e-16
constant,0.5,20,0.36627906976744184,0.36787944117144233,0.001600371404000489,1.0408340855860843e-17
constant,0.5,21,0.36738800746616895,0.36787944117144233,0.0004914337052733808,2.0816681711721685e-17
constant,0.5,22,0.3665454545454545,0.36787944117144233,0.0013339866259878264,1.7694179454963432e-16
constant,0.5,23,0.3677905564949237,0.36787944117144233,8.888467651863019e-05,2.220446049250313e-16
