k,u1_ratio,u2_ratio,min_ratio,residual
20,0.16930595471632093,0.16930595471632093,0.16930595471632093,1.3877787807814457e-16
40,0.17423089183130921,0.17423089183130921,0.17423089183130921,2.220446049250313e-16
60,0.17659657257322914,0.17618042463582417,0.17618042463582417,4.4559777891210435e-08
