demand,k,cost,player,lp_max,bound,residual
constant,20,0.0,u1,0.05,0.05,0.0
constant,20,0.0,u2,0.05,0.05,0.0
constant,20,0.5,u1,0.04999999999999999,0.05,5.551115123125783e-17
constant,20,0.5,u2,0.04999999999999999,0.05,5.551115123125783e-17
constant,30,0.0,u1,0.03333333333333333,0.03333333333333333,0.0
constant,30,0.0,u2,0.03333333333333333,0.03333333333333333,0.0
linear,20,0.0,u1,0.02375,0.0475,0.0
linear,20,0.0,u2,0.02375,0.0475,0.0
linear,20,0.5,u1,0.011250000000000008,0.0225,0.0
linear,20,0.5,u2,0.011250000000000008,0.0225,0.0
linear,30,0.0,u1,0.01611111111111111,0.03222222222222222,0.0
linear,30,0.0,u2,0.01611111111111111,0.03222222222222222,0.0
quadratic,20,0.0,u1,0.0249375,0.049875,0.0
quadratic,20,0.0,u2,0.0249375,0.049875,0.0
quadratic,20,0.5,u1,0.017437500000000015,0.034875,0.0
quadratic,20,0.5,u2,0.017437500000000015,0.034875,0.0
quadratic,30,0.0,u1,0.016648148148148148,0.033296296296296296,0.0
quadratic,30,0.0,u2,0.016648148148148148,0.033296296296296296,0.0
exponential,20,0.0,u1,0.023780735612517853,0.0475614712250357,0.0
exponential,20,0.0,u2,0.023780735612517853,0.0475614712250357,0.0
exponential,20,0.5,u1,0.014423745259512179,0.028847490519024334,0.0
exponential,20,0.5,u2,0.014423745259512179,0.028847490519024334,0.0
exponential,30,0.0,u1,0.016120268341366765,0.03224053668273353,0.0
exponential,30,0.0,u2,0.016120268341366765,0.03224053668273353,0.0
